Hour number,Solar,Wind,SolarTracking
299,0.809933635,0.837500719,0.884213089
300,0.77596576,0.757091323,0.909718177
301,0.758304952,0.612462483,0.925891009
302,0.727660124,0.400153983,0.906770941
303,0.676735354,0.189463435,0.37850024
304,0.543943182,0.03086489,0
305,0.60176852,0,0
306,0.79465772,0,0
307,0.899435328,0,0
308,0.918016286,0,0
309,0.901120814,0,0
310,0.82083916,0,0
311,0.708787379,0,0
312,0.597605885,0,0
313,0.474425606,0,0
314,0.331501993,0,0
315,0.176868667,0,0
316,0.062530788,0.001608395,0.001606694
317,0,0.113536115,0.129458248
318,0,0.327566445,0.460269246
319,0.036310126,0.533173846,0.655080118
320,0.170397205,0.68861124,0.749651372
321,0.299782506,0.789904736,0.802900112
322,0.2481598,0.825110477,0.826741905
323,0.270939069,0.810521731,0.854271846
324,0.238332661,0.733718118,0.879249737
325,0.20997579,0.596882565,0.89906132
326,0.210449401,0.396600789,0.893023644
327,0.20263997,0.188665101,0.378683219
328,0.17291826,0.031938409,0
329,0.273395332,0,0
330,0.596890671,0,0
331,0.82445248,0,0
332,0.848783277,0,0
333,0.792644854,0,0
334,0.381307063,0,0
335,0.113674484,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,0,0,0
340,0,0.001459873,0.001458412
341,0,0.111417941,0.124451033
342,0.03675592,0.322740941,0.447078777
343,0.166310499,0.530820466,0.648745671
344,0.329735337,0.681162948,0.740079463
345,0.479897507,0.785241869,0.798039527
346,0.363815056,0.812250448,0.813719881
347,0.337669051,0.714341664,0.743107656
348,0.255622753,0.614501005,0.709902747
349,0.167661168,0.503560069,0.749732555
350,0.098664795,0.335672256,0.790831275
351,0.05452674,0.146785435,0.357560408
352,0.034297328,0.03043733,0
353,0.042925878,0,0
354,0.073920689,0,0
355,0.148268426,0,0
356,0.293392095,0,0
357,0.461369167,0,0
358,0.547769041,0,0
359,0.509072773,0,0
360,0.577810606,0,0
361,0.69617751,0,0
362,0.776445703,0,0
363,0.773928082,0,0
364,0.656672898,0.001287516,0.001286296
365,0.363959967,0.105638923,0.112207242
366,0.271649614,0.311107539,0.416019918
367,0.211835178,0.526881383,0.642269894
368,0.22924266,0.677161088,0.736227196
369,0.303722217,0.778345893,0.791035417
370,0.222528232,0.820297901,0.821742228
371,0.204642808,0.803506636,0.845544026
372,0.175879194,0.725243818,0.866902605
373,0.140281675,0.576237586,0.868787512
374,0.073322343,0.386119295,0.868059516
375,0,0.160316323,0.375539023
376,0,0.032566686,0
377,0,0,0
378,0,0,0
379,0,0,0
380,0.049782035,0,0
381,0.197847642,0,0
382,0.304086523,0,0
383,0.298231237,0,0
384,0.208559553,0,0
385,0.148740791,0,0
386,0.108496205,0,0
387,0.066930963,0,0
388,0,0.001229545,0.00122844
389,0,0.104702526,0.110641291
390,0,0.313845709,0.426787765
391,0,0.51070279,0.613101343
392,0.061090771,0.669993738,0.727768578
393,0.167487801,0.776128686,0.788929996
394,0.172060146,0.816437427,0.817802193
395,0.180870532,0.796972967,0.837926057
396,0.145837983,0.729990842,0.871274621
397,0.101459837,0.592798435,0.887330302
398,0.053117181,0.399895056,0.884520962
399,0,0.186977382,0.385450142
400,0,0.033781107,0
401,0,0,0
402,0,0,0
403,0,0,0
404,0.034662529,0,0
405,0.150513718,0,0
406,0.337254991,0,0
407,0.262179448,0,0
408,0.187406866,0,0
409,0.123425566,0,0
410,0.08060974,0,0
411,0.07933447,0,0
412,0.114168779,0.000788768,0.000788095
413,0.105938141,0.089880036,0.085132897
414,0.123114457,0.243581386,0.259518274
415,0.478219539,0.499139656,0.591220608
416,0.709227546,0.640265191,0.69009427
417,0.69604305,0.730895835,0.741038247
418,0.440858878,0.726477887,0.727303911
419,0.306291314,0.776600022,0.81462928
420,0.245996639,0.687232326,0.81667055
421,0.206641558,0.540805801,0.814897424
422,0.174756582,0.368428007,0.842384768
423,0.182941523,0.163576714,0.386845883
424,0.145992376,0.03118828,0
425,0.145649141,0,0
426,0.216844954,0,0
427,0.314640279,0,0
428,0.329287786,0,0
429,0.249768186,0,0
430,0.23713958,0,0
431,0.221783302,0,0
432,0.224431088,0,0
433,0.225636443,0,0
434,0.20432435,0,0
435,0.164878797,0,0
436,0.114479317,0.000833511,0.000832834
437,0.058009162,0.095719499,0.092147691
438,0.044862775,0.295835312,0.377803485
439,0.190507378,0.528041636,0.646611279
440,0.504573243,0.684420587,0.746386145
441,0.573775241,0.75515646,0.766630681
442,0.415130935,0.798829414,0.799959007
443,0.369535545,0.795429832,0.835308665
444,0.35528404,0.724218465,0.863629759
445,0.336660523,0.589977197,0.88475245
446,0.289133358,0.374554004,0.851164343
447,0.262142012,0.16028794,0.385114482
448,0.275357358,0.033627517,0
449,0.40552093,0,0
450,0.591792184,0,0
451,0.613047533,0,0
452,0.507054023,0,0
453,0.428074323,0,0
454,0.420167024,0,0
455,0.209422138,0,0
456,0.072821089,0,0
457,0,0,0
458,0,0,0
459,0,0,0
